,0,1,2,3,4,5,6,7
365,Desmadre,Año: 2012,País:: Argentina,"Carla (19) vive sola en un mundo conformado principalmente por sus amigos. Nunca tuvo un padre y su madre vive en España. Su vida transcurre entre fiestas, drogas y dudas sobre su futuro. Carla no se permite caer en un vínculo emocional con nadie, el sexo es un tema muy presente en su círculo, pero el amor pareciera haber pasado de moda. De repente, el secuestro de la pareja de su madre, hace que esta decida volver a Buenos Aires. Ahora, Carla tendrá que lidiar con la relación entre madre e hija que nunca tuvieron y es que para Carla la razón de los desencuentros entre ellas es muy simple: su madre nunca le perdonará ser mujer y más joven.",35mm,Largometraje,Drama,"
Jazmin Stuart,             Juan Pablo Martínez "
366,Desobediencia debida,Año: 2010,País:: Argentina,"Mi padre fue enviado a la guerra de Malvinas como médico militar. Cuando regresó de la guerrasólo contó que había salvado a un piloto británico, el único prisionero inglés capturado por lasFuerzas Armadas argentinas. Más de 28 años después me reveló que había desobedecido a sugeneral, quien le había ordenado torturar al prisionero.Y a mí se me abrieron varios interrogantes.¿El piloto había sido torturado mientras estuvo bajo la custodia de mi padre o durante su cautiverioen la Argentina? ¿Mi padre habría recibido órdenes de torturar antes de la guerra? Supe que teníaque buscar al piloto inglés, porque él podía darme algunas respuestas.",93,Documental,"
Victoria Reale ",
367,Detrás del horror,Año: 0000,País:: Argentina,"Hace algunos meses, en la ciudad de Mar del Plata, un grupo de estudiantes de Cine y cuatro actores desaparecieron sin dejar rastros mientras rodaban un cortometraje de terror. Desde ese entonces la policía manejó distintas hipótesis sobre el caso. Sin embargo ésta semana, se difundió un video anónimo que alteró el curso de la investigación.",Video,Largometraje,Terror,"
Diego Adrián De Llano "
368,Detrás del sol,Año: 2008,"País:: Argentina, Paraguay","Lucas Pérez Campos, Marcelo Martínez Gini, Muriel Morgenstern Krieger, Carlos Alvarez Nóvoa, Lito Cruz",97,Drama,"
Gastón Guiarte  ","
Lucas Pérez Campos, Marcelo Martínez Gini, Muriel Morgenstern Krieger, Carlos Alvarez Nóvoa, Lito Cruz "
369,Devoção,Año: 2008,País:: Brasil,Seguinos en:,85,Documental,"
Sérgio Sanz ","
Sérgio Sanz,             Maria Helena Torres "
370,Dia de preto,Año: 2012,País:: Brasil,"Um jovem negro luta pela liberdade, fugindo de seu patrão e de uma gangue sinistra. Envolvido no roubo de uma relíquia do século XVII, ele acaba descobrindo que sua história está relacionada com a lenda do primeiro escravo alforriado do Brasil.",HD,Largometraje,Acción - Aventuras - Ciencia Ficción,"
Marcial Renato,             Daniel Mattos,             Marcos Felipe "
371,Día Nacional del Gaucho,Año: 2009,País:: Argentina,"El 6 de diciembre y desde 1996, es en Argentina “El Día Nacional del Gaucho” (Ley Nº 24.303),como homenaje a la 1ª edición del “Martín Fierro”. Y ese día se reúnen miles de hombres, suscaballos y tropillas para celebrar la sabiduría de la gente del campo. Nuestro documental “DíaNacional del Gaucho” celebra este encuentro retratando su intimidad en la preparación para esteimportante evento, concluyendo en la apoteosis del desfile principal. Asimismo nos escabullimosen los talleres y el quehacer de los artesanos: soguero, talabartero, platero, telero, y resero, entreotros.",72,Documental,"
Antonio Cervi ",
372,Día Naranja,Año: 2007,"País:: Argentina, Venezuela","Tres mujeres despiertan una mañana sospechando estar embarazadas. Una de ellas está Bogota, otra en Caracas y, la tercera, en Buenos Aires. Las tres son de distintas generaciones y pertenecen a diferentes clases sociales. El día transcurre, para cada una de ellas, lleno de expectativas, dudas y contradicciones respecto a su futuro y su propia vida. El film las acompaña en tiempo real en su recorrido por las 3 ciudades, por sus 3 familias, por sus 3 parejas, y por sus 3 historias",90,Comedia Romántica,"
Alejandra Szeplaki ",https://www.youtube.com/watch?v=kJabPRJTDfw
373,Diamond Santoro y la soga de los muertos,Año: 2012,País:: Argentina,"Diamond Santoro, pionero del rock argentino, recibe a los 65 años la antigua libreta artística de su hermano, fallecido hace 40 años. La libreta, creada a principio de los años 70, contiene dibujos, poesías y las coordenadas de un viaje al Amazonas que su hermano nunca concretó. Impulsado por ese descubrimiento y como tributo a su hermano, Diamond emprende un viaje a Iquitos (Perú) para buscar al Curandero que planeó visitar antes de morir.",U$S 2.012,90,Largometraje,Drama
374,Diario de Ana y Mía,Año: 2013,País:: Argentina,"Cuatro mujeres encerradas comparten su más profundo secreto en la soledad de internet.Carrie, Fabiana, Fiorella y Rocío tienen algo en común, todas quieren ser ""perfectas princesas""mientras confiesan sus angustias a desconocidas en la web. Ellas intentan ser ""normales"",pero no comer es siempre un problema.",Video,Largometraje,Documental,"
Alejandra Martin "
375,Días de pesca,Año: 2012,País:: Argentina,"Marco es un viajante de comercio de 52 años, ex alcohólico, que decide intentar cambiarel rumbo de su vida después de una internación para desintoxicarse. Como parte deltratamiento, le sugieren que elija un hobby, y él se decide por la pesca. Con ese objetivoviaja a Puerto Deseado en la temporada de pesca del tiburón. Pero también va en buscade Ana, su hija, de quien no supo nada durante años, sólo que vivía allí. De esa búsqueda,y de esos encuentros y desencuentros trata Días de Pesca.",DCP,Largometraje,Drama,"
Carlos Sorín "
376,Días de Poder,Año: 2011,País:: Venezuela,"La película narra la historia de Fernando Quinter, líder revolucionario que, luego de la caída de la dictadura de Marcos Pérez Jiménez, asciende al poder, traicionando sus ideales para convertirse en un cómplice de la represión contra la cual luchó.",Drama,https://www.youtube.com/watch?v=GeV908UrVns,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
377,Dias e Noites,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Beto Souza  ","
Lulu Silva Telles,             Rafael Dragaud ",www.diasenoites.com.br
378,Dino Cazzola – Uma filmografia de Brasília,Año: 2012,País:: Brasil,"“Dino Cazzola – Uma filmografia de Brasília” revela o acervo do italiano Dino Cazzola, cinegrafista e produtor de Brasília, que promoveu registros da Capital Federal desde o início da sua construção. O documentário é resultado da análise de mais de 3 mil rolos de filmes com 300 horas de material raro produzido entre as décadas de 60 e 70, abarcando desde o governo de Juscelino Kubitschek até a ditadura.",72,Documental,"
Andrea Prates,              Cleisson Vidal ",https://www.youtube.com/watch?v=eV8qsEtW0Kw
379,Dios local,Año: 2014,País:: Uruguay,"Después de algunos hechos trágicos, un grupo de rock de veinteañeros se vuelca a un proyecto conceptual que arroja como resultado un disco de solo tres canciones que componen la ópera de sus temores, culpas y abismos. Cada surco tiene la particularidad de incluir los hechos más traumáticos de cada integrante como una forma de exorcizar los momentos oscuros de sus vidas. Narrada en tres capítulos, uno para cada track, las tres historias convergen y se tejen en distintos actos d crueldad, locura y violencia.",DCP,Largometraje,Terror,"
Gustavo Hernández  "
380,Dioses,Año: 2007,"País:: Argentina, Perú","Diego y Andrea tienen alrededor de 18 años. Son bellos, ricos e inteligentes. Viven consu millonario y triunfador padre en una casa en la playa más exclusiva del Perú.Pertenecen a un mundo donde no existen los problemas ni las necesidades materiales.DIOSES cuenta la historia de una familia en la cual todo parece estar bien, sin embargoal mirar de cerca, aparece un mundo de costumbres sociales crueles e inflexibles.Es la historia de una familia de la alta aristocracia Limeña y su proceso de decadencia.",90,Ficción,"
Josué Méndez ",
381,Dirty Love ,Año: 2009,País:: Chile,  Evelyn Belmar   George Belmar   Yuri Cáceres   Patricio Chavez   Omar Cortázar   Natalia Ferreira   Domingo Guzmán   Eva Morgana   Ignacio Muñoz   François Soto   Patricio Valladares ,86,"
Patricio Valladares ","
Patricio Valladares ,             Andrea Cavaletto ","
  Evelyn Belmar   George Belmar   Yuri Cáceres   Patricio Chavez   Omar Cortázar   Natalia Ferreira   Domingo Guzmán   Eva Morgana   Ignacio Muñoz   François Soto   Patricio Valladares  "
382,Disfruta El Silencio ,Año: 2009,País:: Chile, Melody Urbinas   Cristián Aravena   Lindesh Taha   Antonio de Santos   Daniela Jofré   Fernando Parra ,100,"
Ernesto Araya Fernández ","
Ernesto Araya Fernández ","
 Melody Urbinas   Cristián Aravena   Lindesh Taha   Antonio de Santos   Daniela Jofré   Fernando Parra  "
383,Disparos,Año: 2012,País:: Brasil,"Ao sair de uma sessão de fotos, Henrique é assaltado por dois motoqueiros, que no mesmo instante são atropelados por um carro não identificado. Assustado, ele recupera sua câmera e vai embora, mas precisa voltar ao local para resgatar o cartão de memória perdido. Ao retornar, o fotógrafo se envolve em situações kafkianas, pois, de vítima, ele passa a ser acusado de crime por omissão de socorro. Henrique agora tentará se inocentar, ainda que se sinta cada vez menos inocente.",HD,Largometraje,Drama,"
Juliana Reis "
384,Divã,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
José Alvarenga Júnior  ","
Marcelo Saback ",www.divaofilme.com.br/
